time_sec,x,y,z,goal_distance
0.049999999999998934,-15.00000000959906,-3.4835014135596574e-10,-19.999325962546603,80.00155828452796
0.09999999999999964,-15.000000044958313,-1.6073522114751161e-09,-19.99848334465278,80.00155306516385
0.14999999999999858,-15.000000136852746,-4.743937816565697e-09,-19.997312991861566,80.00154587324118
0.1999999999999993,-15.000000324740041,-1.0775104136967862e-08,-19.995821979337226,80.00153680644893
0.25,-15.000000655497974,-2.0546758686479878e-08,-19.994017426150513,80.00152597355263
0.29999999999999893,-15.000001181073692,-3.4456477856585994e-08,-19.991906481282268,80.00151349167163
0.34999999999999964,-15.00000195596355,-5.2168142277517646e-08,-19.989496310167155,80.00149948339619
0.3999999999999986,-15.000003034609287,-7.233609024728013e-08,-19.986794081805908,80.00148407383189
0.4499999999999993,-15.000004468795009,-9.235511681341595e-08,-19.983806956469266,80.00146738765702
0.5,-15.00000630512629,-1.0815075397495094e-07,-19.980542074011506,80.00144954627473
0.5499999999999989,-15.000008582667544,-1.1402189481314637e-07,-19.97700654280732,80.00143066513725
0.5999999999999996,-15.000011330806775,-1.0254506994012972e-07,-19.973207429320418,80.00141085131172
0.6499999999999986,-15.000014567408677,-6.454668169448264e-08,-19.96915174830932,80.00139020134925
0.6999999999999993,-15.000018297307307,1.085363000583869e-08,-19.964846453670862,80.00136879950864
0.75,-15.000022511178988,1.3612846132897785e-07,-19.96029842991939,80.00134671637554
0.7999999999999989,-15.000027184824916,3.2515996333123203e-07,-19.955514484295943,80.00132400790707
0.8499999999999996,-15.000032278881264,5.929948314723798e-07,-19.950501339499038,80.00130071491922
0.8999999999999986,-15.000037738962817,9.555453005671093e-07,-19.94526562702633,80.00127686302318
0.9499999999999993,-15.000043496234609,1.429246596506766e-06,-19.93981388111387,80.00125246300493
1.0,-15.000049468394971,2.0306829562894696e-06,-19.93415253325793,80.00122751163123
1.049999999999999,-15.00005556104284,2.776195486228251e-06,-19.928287907302686,80.00120199285439
1.0999999999999996,-15.0000616693934,3.6814857574302704e-06,-19.92222621507541,80.00117587937979
1.1499999999999986,-15.00006768029868,4.761229131004909e-06,-19.91597355254972,80.0011491345519
1.1999999999999993,-15.000073474520372,6.028711387232174e-06,-19.909535896516406,80.00112171450617
1.25,-15.000078929195732,7.4955013204186776e-06,-19.902919101740636,80.00109357052659
1.299999999999999,-15.000083920434191,9.171170601134494e-06,-19.896128898583477,80.0010646515463
1.3499999999999996,-15.000088325980046,1.106307046797168e-05,-19.889170891065373,80.00103490672595
1.3999999999999986,-15.000092027875526,1.3176172762655514e-05,-19.88205055534879,80.00100428804359
1.4499999999999993,-15.000094915059504,1.5512980546221397e-05,-19.874773238617067,80.00097275283066
1.5,-15.00009688583932,1.8073511116592573e-05,-19.867344158326375,80.00094026619101
1.549999999999999,-15.000097850177081,2.085535177786631e-05,-19.859768401807898,80.00090680324368
1.5999999999999996,-15.00010435052353,3.3048187986707756e-05,-19.852175918924278,80.00087952000038
1.6499999999999986,-15.000163239983973,0.00012127201289838008,-19.8455287917351,80.00090942348535
1.6999999999999993,-15.000301299462809,0.00032189589057042567,-19.840641304438797,80.00102652220619
1.75,-15.000488220693981,0.000571746308246248,-19.83735536480083,80.00119951924752
1.799999999999999,-15.000682203682691,0.0007825332633144144,-19.83513550480859,80.00138417223525
1.8499999999999996,-15.000440802820986,0.0009198190959938265,-19.833852700996292,80.00113741139994
1.8999999999999986,-14.997237025776867,0.0010266265906547748,-19.833256975005146,79.99793117964788
1.9499999999999993,-14.988637849915142,0.0011482666711569174,-19.832979626632756,79.98933092503741
2.0,-14.973934221815322,0.0012754535047124638,-19.832897053580464,79.97462708253354
2.049999999999999,-14.954544669823052,0.0013757459265105391,-19.83286018906694,79.95523754674781
2.0999999999999996,-14.933029061654688,0.001422457049733849,-19.83277016684045,79.93372175107736
2.1499999999999986,-14.911448061895832,0.0014508339183467967,-19.832568579682718,79.91214009970066
2.1999999999999993,-14.890191285469562,0.0014914383752720785,-19.83228927603377,79.89088234596157
2.25,-14.869388296839995,0.0015191836484283235,-19.831997119928992,79.8700783229049
2.299999999999999,-14.848981648848541,0.0015138215190181566,-19.831743442750323,79.8496707968268
2.3499999999999996,-14.828830057366524,0.0014972178374089813,-19.831562122514867,79.82951862569794
2.3999999999999986,-14.808819395267891,0.0014826359629311462,-19.831461777055654,79.80950771915803
2.4499999999999993,-14.788848468264957,0.0014498295800749877,-19.83143413689299,79.78953684901832
2.5,-14.768838130422752,0.0013971791450155054,-19.83146503038871,79.76952681128343
2.5500000000000007,-14.74875376083823,0.0013231300813440609,-19.83154939210851,79.7494429645555
2.599999999999998,-14.728598495250873,0.001230275425775682,-19.831716073596876,79.72928856501844
2.6499999999999986,-14.708434861888977,0.0011418099669603693,-19.831821522819997,79.70912554380918
2.6999999999999993,-14.68828142227724,0.0010834163670095326,-19.831880862074843,79.68897252516473
2.75,-14.668213342704915,0.001077082143166483,-19.83191970008909,79.66890478138983
2.8000000000000007,-14.648171972390958,0.0011156602465844656,-19.83198006174027,79.64886383715499
2.849999999999998,-14.62810301223253,0.0011803107416009848,-19.832073963584754,79.62879544384141
2.8999999999999986,-14.607988269057968,0.0012524982683032048,-19.83218701219829,79.60868134836988
2.9499999999999993,-14.58784051985777,0.001316548456315603,-19.832294971786016,79.58853422633116
3.0,-14.567695024741123,0.0013649299089010208,-19.832402487914607,79.56838935674908
